Model,Degradation,Class_Code,Class_Name,Clean_F1,Worst_F1,F1_Drop_pp
"ViT-B/16 (Transformer, 86M)",JPEG Compression,mel,Melanoma,0.5633,0.0959,46.7
"ViT-B/16 (Transformer, 86M)",JPEG Compression,nv,Melanocytic Nevi,0.9131,0.8289,8.4
"ViT-B/16 (Transformer, 86M)",JPEG Compression,vasc,Vascular Lesions,0.85,0.3761,47.4
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,akiec,Actinic Keratoses,0.5489,0.0413,50.8
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,bcc,Basal Cell Carcinoma,0.7329,0.3924,34.0
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,bkl,Benign Keratosis,0.6998,0.4689,23.1
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,df,Dermatofibroma,0.4751,0.1479,32.7
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,mel,Melanoma,0.5741,0.051,52.3
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,nv,Melanocytic Nevi,0.915,0.8507,6.4
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,vasc,Vascular Lesions,0.8504,0.0518,79.9
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,akiec,Actinic Keratoses,0.5489,0.0452,50.4
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,bcc,Basal Cell Carcinoma,0.7329,0.0321,70.1
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,bkl,Benign Keratosis,0.6998,0.0043,69.6
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,df,Dermatofibroma,0.4751,0.2477,22.7
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,mel,Melanoma,0.5741,0.0189,55.5
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,nv,Melanocytic Nevi,0.915,0.8232,9.2
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,vasc,Vascular Lesions,0.8504,0.5982,25.2
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,akiec,Actinic Keratoses,0.5489,0.0,54.9
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,bcc,Basal Cell Carcinoma,0.7329,0.0,73.3
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,bkl,Benign Keratosis,0.6998,0.0086,69.1
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,df,Dermatofibroma,0.4751,0.2222,25.3
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,mel,Melanoma,0.5741,0.0,57.4
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,nv,Melanocytic Nevi,0.915,0.8125,10.3
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,vasc,Vascular Lesions,0.8504,0.5512,29.9
"ViT-S/16 (Transformer, 22M)",JPEG Compression,akiec,Actinic Keratoses,0.5489,0.0806,46.8
"ViT-S/16 (Transformer, 22M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7329,0.1791,55.4
"ViT-S/16 (Transformer, 22M)",JPEG Compression,bkl,Benign Keratosis,0.6998,0.233,46.7
"ViT-S/16 (Transformer, 22M)",JPEG Compression,df,Dermatofibroma,0.4751,0.2234,25.2
"ViT-S/16 (Transformer, 22M)",JPEG Compression,mel,Melanoma,0.5741,0.1142,46.0
"ViT-S/16 (Transformer, 22M)",JPEG Compression,nv,Melanocytic Nevi,0.915,0.8096,10.5
"ViT-S/16 (Transformer, 22M)",JPEG Compression,vasc,Vascular Lesions,0.8504,0.243,60.7
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,akiec,Actinic Keratoses,0.5575,0.0,55.8
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,bcc,Basal Cell Carcinoma,0.7199,0.112,60.8
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,bkl,Benign Keratosis,0.6816,0.4001,28.2
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,df,Dermatofibroma,0.4702,0.1386,33.2
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,mel,Melanoma,0.5909,0.0276,56.3
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,nv,Melanocytic Nevi,0.9162,0.767,14.9
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,vasc,Vascular Lesions,0.8953,0.0247,87.1
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,akiec,Actinic Keratoses,0.5575,0.252,30.6
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,bcc,Basal Cell Carcinoma,0.7199,0.0496,67.0
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,bkl,Benign Keratosis,0.6816,0.0841,59.8
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,df,Dermatofibroma,0.4702,0.3393,13.1
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,mel,Melanoma,0.5909,0.0315,55.9
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,nv,Melanocytic Nevi,0.9162,0.8369,7.9
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,vasc,Vascular Lesions,0.8953,0.6603,23.5
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,akiec,Actinic Keratoses,0.5575,0.0,55.8
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,bcc,Basal Cell Carcinoma,0.7199,0.0076,71.2
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,bkl,Benign Keratosis,0.6816,0.0,68.2
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,df,Dermatofibroma,0.4702,0.1515,31.9
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,mel,Melanoma,0.5909,0.0,59.1
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,nv,Melanocytic Nevi,0.9162,0.8259,9.0
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,vasc,Vascular Lesions,0.8953,0.6245,27.1
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,akiec,Actinic Keratoses,0.5575,0.0199,53.8
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7199,0.2023,51.8
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,bkl,Benign Keratosis,0.6816,0.2554,42.6
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,df,Dermatofibroma,0.4702,0.1447,32.6
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,mel,Melanoma,0.5909,0.2189,37.2
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,nv,Melanocytic Nevi,0.9162,0.8095,10.7
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,vasc,Vascular Lesions,0.8953,0.275,62.0
